extendedName,identification,description,name
Organic Lettuce Seed,Product ID: 3884G,Mini green romaine.,Dragoon
Organic (F1) Squash Seed,Product ID: 2713G,Adapted for greenhouse production.,Partenon
Organic (F1) Cucumber Seed,Product ID: 3082G,"Attractive, high-yielding pickler for the greenhouse.",Excelsior
Lettuce Seed,Product ID: 2196,Our most attractive green romaine.,Green Forest
(F1) Cucumber Seed,Product ID: 3114,"Mini ""cocktail"" cukes for the field or hoophouse.",Iznik
Organic Lettuce Seed,Product ID: 2233N,Red version of an old favorite.,Red Saladbowl
Pelleted Lettuce Seed,Product ID: 3056JP,"Large, rosette heads with attractive, thin, supple leaves. Conventional seed with NOP-compliant pelleting.",Salanova® Green Butter
Pelleted Lettuce Seed,Product ID: 3060JP,Flavorful salad mix grown at home. Conventional seed with NOP-compliant pelleting.,Salanova® Home Garden Mix
Seed,Product ID: 192,A blend of downy mildew resistant varieties for fall/winter production under protected cover.,Five Star Greenhouse Lettuce Mix
Organic (F1) Tomato Seed,Product ID: 3087G,A San Marzano type for the greenhouse.,Pozzano
Pelleted Lettuce Seed,Product ID: 23JP,Most adaptable butterhead. Conventional seed with NOP-compliant pelleting.,Skyphos
Pelleted Lettuce Seed,Product ID: 3057JP,"Large, rosette heads with attractive, thin, supple leaves. Conventional seed with NOP-compliant pelleting.",Salanova® Red Butter
(F1) Tomato Seed,Product ID: 3181,"High yields of large, flavorful fruit.",Bigdena
(F1) Cucumber Seed,Product ID: 2989,Large Beit Alpha for colder conditions.,Socrates
Organic Lettuce Seed,Product ID: 2962G,Now available organic! Heat tolerant red butterhead.,Red Cross
