extendedName,identification,description,name
Lettuce Seed,Product ID: 2382,Red summer crisp with good flavor.,Magenta
(F1) Tomato Seed,Product ID: 3226,The determinate tomato for hoophouse growing.,BHN-589
Lettuce Seed,Product ID: 102,Bright green oakleaf.,Panisse
Organic Lettuce Seed,Product ID: 118G,"True compact, red, mini romaine.",Breen
Organic Pelleted Lettuce Seed,Product ID: 3884GP,Mini green romaine. Organic seed with NOP-compliant pelleting.,Dragoon
(F1) Tomato Seed,Product ID: 3084,"Delicious, pink cherry tomato.",Sunpeach
Lettuce Seed,Product ID: 118,"New! True compact, red, mini romaine.",Breen
Pelleted Lettuce Seed,Product ID: 2196JP,Our most attractive green romaine. Conventional seed with NOP-compliant pelleting.,Green Forest
Organic Lettuce Seed,Product ID: 3882G,"Large, bright green butterhead with disease resistance.",Mirlo
Organic Lettuce Seed,Product ID: 3880G,"Dark red, mini romaine.",Truchas
Organic Pelleted Lettuce Seed,Product ID: 118GP,"True compact, red, mini romaine.",Breen
(F1) Pepper Seed,Product ID: 3186,"Blocky, red bell pepper for heated tunnel production.",Sprinter
(F1) Tomato Seed,Product ID: 2854,Delicious and productive.,Favorita
(F1) Tomato Seed,Product ID: 2700,"Highly vigorous, disease-resistant rootstock.",Maxifort
Pelleted Lettuce Seed,Product ID: 3054JP,"Sweet flavor and crunchy, crisp, succulent leaves. Conventional seed with NOP-compliant pelleting.",Salanova® Green Sweet Crisp
