extendedName,identification,description,name
Organic (F1) Tomato Plants,Product ID: 3930G,Crack resistance with good flavor.,Geronimo/Estamino Grafted
Organic (F1) Tomato Plants,Product ID: 3938G,One of the best-tasting tomatoes.,Brandywine/Estamino Grafted
Organic (F1) Tomato Plants,Product ID: 3224G,The best determinate tomato for the hoophouse.,BHN-589/Maxifort Grafted
Organic (F1) Tomato Plants,Product ID: 4743G,"New! Reliably high yields of large, flavorful fruit.",Bigdena/Maxifort Grafted
Organic (F1) Tomato Plants,Product ID: 4528G,New! Superlative flavor and appearance.,Marbonne/Estamino Grafted
Organic (F1) Tomato Plants,Product ID: 3929G,The best greenhouse tomato for fresh market.,Rebelski/Estamino Grafted
Organic (F1) Tomato Plants,Product ID: 3222G,A great greenhouse tomato for market growers.,Rebelski/Maxifort Grafted
Organic (F1) Tomato Plants,Product ID: 4278G,New! Heirloom-quality flavor and look.,Marnero/Estamino Grafted
Organic (F1) Tomato Plants,Product ID: 4527G,New! Classic flavor and appearance.,Margold/Estamino Grafted
Organic (F1) Tomato Plants,Product ID: 4744G,New! Smooth pink greenhouse tomato.,Tomimaru Muchoo/Estamino Grafted
Organic (F1) Tomato Plants,Product ID: 4721G,"New! High yields of large, flavorful fruit.",Bigdena/Estamino Grafted
Pelleted Lettuce Seed,Product ID: 2967P,The standard for hydroponic growing.,Rex
Organic Plants,Product ID: 3947G,"A collection of our favorite heirloom tomatoes, grafted.",Grafted Heirloom Tomato Collection
Organic (F1) Plants,Product ID: 3952G,Our favorite greenhouse varieties grafted.,Estamino Grafted Greenhouse Tomato Collection
Organic (F1) Plants,Product ID: 3223G,Our favorite greenhouse varieties grafted to Maxifort.,Maxifort Grafted Greenhouse Tomato Collection
